Date,Open,High,Low,Close,Adj Close,Volume
2017-04-19,234.520004,234.949997,233.179993,233.440002,229.984390,68699900
2017-04-20,234.149994,235.850006,233.779999,235.339996,231.856262,92572200
2017-04-21,235.250000,235.309998,234.130005,234.589996,231.117340,110389800
2017-04-24,237.179993,237.410004,234.559998,237.169998,233.659164,119209900
2017-04-25,237.910004,238.949997,237.809998,238.550003,235.018738,76698300
2017-04-26,238.509995,239.529999,238.350006,238.399994,234.870956,84702500
2017-04-27,238.770004,238.949997,237.979996,238.600006,235.068008,57410300
2017-04-28,238.899994,238.929993,237.929993,238.080002,234.555679,53247400
2017-05-01,238.679993,239.169998,238.199997,238.679993,235.146805,66882500
2017-05-02,238.839996,238.979996,238.300003,238.770004,235.235489,57375700
2017-05-03,238.770004,238.880005,237.699997,238.479996,234.949768,73137700
2017-05-04,238.830002,238.919998,237.779999,238.759995,235.225616,61462700
2017-05-05,239.190002,239.720001,238.679993,239.699997,236.151718,62001300
2017-05-08,239.750000,239.919998,239.169998,239.660004,236.112320,48385700
2017-05-09,239.960007,240.190002,239.039993,239.440002,235.895569,51363200
2017-05-10,239.389999,239.869995,239.149994,239.869995,236.319199,54293800
2017-05-11,239.350006,239.570007,238.130005,239.380005,235.836456,62358300
2017-05-12,239.089996,239.429993,238.669998,238.979996,235.442368,53912700
2017-05-15,239.470001,240.440002,239.449997,240.300003,236.742828,61918900
2017-05-16,240.639999,240.669998,239.630005,240.080002,236.526077,51241800
2017-05-17,240.080002,240.080002,235.750000,235.820007,232.329147,172174100
2017-05-18,235.729996,237.750000,235.429993,236.770004,233.265091,107047700
2017-05-19,237.330002,239.080002,237.270004,238.309998,234.782288,115011400
2017-05-22,238.899994,239.710007,238.820007,239.520004,235.974380,61010600
2017-05-23,239.949997,240.240005,239.509995,240.050003,236.496536,48341700
2017-05-24,240.320007,240.729996,239.929993,240.610001,237.048248,46927700
2017-05-25,241.199997,242.080002,240.960007,241.759995,238.181213,64071700
2017-05-26,241.539993,241.899994,241.449997,241.710007,238.131958,46629900
2017-05-30,241.339996,241.789993,241.160004,241.500000,237.925079,35201900
2017-05-31,241.839996,241.880005,240.639999,241.440002,237.865967,91796000
2017-06-01,241.970001,243.380005,241.639999,243.360001,239.757538,68962000
2017-06-02,243.419998,244.350006,243.080002,244.169998,240.555542,88666100
2017-06-05,243.970001,244.300003,243.759995,243.990005,240.378220,44698800
2017-06-06,243.339996,243.979996,243.119995,243.210007,239.609756,50375400
